item,trial_type,Group ,pic_width,pic_height,Prime_word,Target_word,Prime_pic_correct,Prime_pic_distract,Target_pic_correct,Target_pic_distract,prime_sound,target_sound,prime_soundfile,target_soundfile
8,ing prime,B,,,swimming,swimming,swimming_c.png,swimming_pw.png,swimming_c.png,swimming_tw.png,swimming.wav,swimming.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/swimming.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/swimming.wav?raw=true
9,unrel prime,B,,,bunny,sleeping,bunny_c.png,bunny_w.png,sleeping_c.png,sleeping_tw.png,bunny.wav,sleeping.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/bunny.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/sleeping.wav?raw=true
10,unrel prime,B,,,chicken,walking,chicken_c.png,chicken_w.png,walking_c.png,walking_tw.png,chicken.wav,walking.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/chicken.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/walking.wav?raw=true
11,in prime,B,,,huggin,hugging,hugging_c.png,hugging_pw.png,hugging_c.png,hugging_tw.png,huggin.wav,hugging.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/huggin.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/hugging.wav?raw=true
12,ing prime,B,,,throwing,throwing,throwing_c.png,throwing_pw.png,throwing_c.png,throwing_tw.png,throwing.wav,throwing.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/throwing.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/throwing.wav?raw=true
13,unrel prime,B,,,apple,talking,apple_c.png,apple_w.png,talking_c.png,talking_tw.png,apple.wav,talking.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/apple.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/talking.wav?raw=true
14,in prime,B,,,drinkin,drinking,drinking_c.png,drinking_pw.png,drinking_c.png,drinking_tw.png,drinkin.wav,drinking.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/drinkin.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/drinking.wav?raw=true
15,ing prime,B,,,reading,reading,reading_c.png,reading_pw.png,reading_c.png,reading_tw.png,reading.wav,reading.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/reading.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/reading.wav?raw=true
16,filler,B,,,book,baby,book_c.png,book_w.png,baby_c.png,baby_w.png,book.wav,baby.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/book.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/baby.wav?raw=true
17,filler,B,,,hand,spoon,hand_c.png,hand_w.png,spoon_c.png,spoon_w.png,hand.wav,spoon.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/hand.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/spoon.wav?raw=true
18,filler,B,,,doll,cup,doll_c.png,doll_w.png,cup_c.png,cup_w.png,doll.wav,cup.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/doll.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/cup.wav?raw=true
19,filler,B,,,nose,duck,nose_c.png,nose_w.png,duck_c.png,duck_w.png,nose.wav,duck.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/nose.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/duck.wav?raw=true
20,filler,B,,,ball,hat,ball_c.png,ball_w.png,hat_c.png,hat_w.png,ball.wav,hat.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/ball.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/hat.wav?raw=true
21,filler,B,,,cow,house,cow_c.png,cow_w.png,house_c.png,house_w.png,cow.wav,house.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/cow.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/house.wav?raw=true
22,filler,B,,,bear,bread,bear_c.png,bear_w.png,bread_c.png,bread_w.png,bear.wav,bread.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/bear.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/bread.wav?raw=true
23,filler,B,,,horse,clock,horse_c.png,horse_w.png,clock_c.png,clock_w.png,horse.wav,clock.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/horse.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/clock.wav?raw=true
24,filler,B,,,feet,car,feet_c.png,feet_w.png,car_c.png,car_w.png,feet.wav,car.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/feet.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/car.wav?raw=true
